X,Y,Z,R,G,B
339.6355158602856,-53.40177959795227,578.4900492257103,41,38,52
-7.2975178405205705,-177.78258648483336,522.2837103438268,118,71,87
321.85315220981386,-98.5750339387008,620.3569729037392,110,124,153
322.25429500441305,9.60647014566592,630.9049765859752,90,108,144
20.93023829234783,30.172281592208222,514.6516369686236,0,0,0
147.0549254271477,-16.50282786631238,528.0527298648799,53,24,27
-48.68328103400727,-47.17592582117708,527.2552369218328,98,69,84
108.38906288201031,124.1079190010141,464.67177484994124,140,100,121
-4.6538532738375595,123.20682617566665,358.7026353267054,78,46,56
104.36261661603157,72.12074054528858,409.1081044697132,112,66,79
-33.30935915019591,64.35786184649535,360.13767676627026,105,59,69
337.2864595887278,103.33412074136503,615.5049313209497,112,129,161
-507.312411828576,130.59805052323424,466.02064492811365,128,120,137
206.89647577836263,-249.8879611038101,576.7310654036688,0,0,0
312.99533595139167,-181.10103233716174,603.2641737976257,65,44,53
237.61836462450114,-191.73524984969396,573.5237452897898,116,105,129
346.5295782048315,-27.564684067053502,636.7110706818858,148,168,205
-371.2262249630856,-185.7248886613228,574.2401286314023,117,97,123
326.5242819674141,59.23048642056592,613.1600987406185,40,42,57
4.1663220687677205,37.40434735880837,561.4707346018052,109,53,56
315.9381146905063,21.05632165338665,577.4194217245229,112,92,108
111.72151725788704,147.67713055187411,585.6445939110819,0,0,0
341.29972050135683,-17.83290067485419,639.7726686463312,145,165,206
314.1085605944137,135.60375230787577,546.366852475184,158,175,249
-360.16069780947504,-430.6030002701047,582.3535756322302,110,95,115
314.176677995952,-229.3282536592129,633.8570550461126,28,22,24
321.31833104968024,-218.39711994417428,633.1812593355912,14,18,27
-144.8308004563539,-72.22291363739048,524.889600019276,111,90,102
-163.56012676174845,-60.557263649594496,521.8055467211632,140,93,111
318.03776325746014,-107.18747223970459,570.4341367984858,67,43,46
54.25062506456321,28.26918859251663,486.02047670148886,136,83,99
-166.76120763520524,6.29350474007349,525.596230853402,125,84,100
76.83250747428114,-248.23460462685287,576.0964953902413,117,100,118
-361.95290675277533,-303.1798709279326,568.927348324493,165,178,228
