X,Y,Z,R,G,B
124.46480202500146,-691.1145235224108,53.9191172103354,174,118,69
279.43799787316607,-743.262343303013,200.35957370283452,207,163,92
192.95036411797054,-713.7067787862053,118.39637675792497,208,162,91
-300.38364354537816,-398.36396193374094,0.4452972047542403,189,144,79
416.0666383921481,-778.0568817615765,351.60688723804606,199,149,85
271.6887638823741,-737.1207672313569,197.33539684231556,180,126,72
271.6887638823741,-737.1207672313569,197.33539684231556,180,126,72
202.40353397689756,-716.2506221285539,125.54949401744446,167,106,60
344.31220507763936,-760.0344618662044,267.72194033836115,191,138,78
199.86981207738557,-715.2590197448163,121.76411995318264,193,141,82
137.47561619802264,-695.9063058109679,55.91820923019657,204,158,89
207.19619512583256,-716.0833790612085,128.30469351620033,214,171,92
-147.63728598607264,-509.5115724378714,-0.6542652939780851,189,143,80
436.2627269161668,-785.1810747315401,361.516247291656,207,159,88
130.06135436263185,-693.3663889760362,46.901221332549426,217,175,99
434.3754350224751,-784.8492817865488,357.9115706677247,190,136,79
499.2024621228277,-804.4022862801401,424.19217868197603,171,119,71
496.6588037092116,-803.7675698692926,419.3779542041151,197,149,83
294.5786225324213,-740.2345715262063,217.1523510555201,209,165,92
500.4003933562268,-803.680476449332,421.68602504998233,204,154,85
345.1631788402179,-756.3696798808214,263.61458967662315,209,163,90
205.03841093755318,-713.999851860862,118.25563904116584,201,151,83
205.03841093755318,-713.999851860862,118.25563904116584,201,151,83
282.2528242122651,-737.0907957750221,195.09468323064215,167,113,66
440.41469230525104,-783.6923981798418,357.62487450671756,188,132,76
196.5991150713985,-710.1389854461834,109.89006537479082,167,114,66
142.79465383665723,-695.2856849888586,51.54493174800771,168,114,65
142.79465383665723,-695.2856849888586,51.54493174800771,168,114,65
293.3299416083258,-738.416535478779,208.44967911320623,210,165,92
447.52463435476056,-786.6603346910572,360.5373685773309,207,159,86
292.71348210898566,-737.7324813326725,208.5530396309947,210,165,92
122.53391331610948,-688.3115046596577,27.104072347013414,195,145,83
281.9984016190325,-734.8504078290064,191.42516915029142,206,161,92
352.7517411761417,-753.998520333341,267.2123385999332,183,128,74
207.03264124534343,-711.427488548391,115.5431757691025,204,155,85
219.06071904171495,-716.4760140875949,122.99372119707795,186,131,73
507.32536680873284,-802.7066889716842,414.65418170160024,178,127,75
507.32536680873284,-802.7066889716842,414.65418170160024,178,127,75
-212.62837662736754,-454.2185018978845,0.10271839149982043,188,140,77
-212.62837662736754,-454.2185018978845,0.10271839149982043,188,140,77
212.66675602792554,-713.1931809112109,117.9612583309893,204,157,88
135.22808982479916,-684.6344194125172,50.34310121220847,212,168,93
456.5353172072522,-787.1758258356031,360.03718988582955,205,158,87
-270.68802387708547,-411.3807108083054,-0.4437310420799463,184,136,74
146.90580192953098,-692.8887892845762,46.868673547730936,212,168,93
518.186793588291,-804.464386759402,419.24845689803396,204,156,86
297.36788289554227,-737.7072769221226,197.05401755495598,211,166,96
297.36788289554227,-737.7072769221226,197.05401755495598,211,166,96
301.96721827496344,-739.4022824857849,199.16175047219164,167,114,67
196.43371024977995,-706.4562125988914,95.26967748115962,169,112,63
196.43371024977995,-706.4562125988914,95.26967748115962,169,112,63
295.33323400625784,-737.4072882243286,191.6058619688583,183,132,76
196.37237517804243,-706.9395722155879,93.07967642158033,165,110,64
193.8931946041069,-705.8390447834165,89.42399213971575,209,163,89
156.2226899571691,-693.7638076268368,51.93614053905088,172,116,67
156.2226899571691,-693.7638076268368,51.93614053905088,172,116,67
361.7929789149701,-755.323871492363,259.0615350967016,177,122,70
361.7929789149701,-755.323871492363,259.0615350967016,177,122,70
-198.18737548170415,-460.3926322502999,-0.308360666662594,194,152,85
505.4101876063511,-797.5841742629841,403.9831072661425,183,131,78
505.4101876063511,-797.5841742629841,403.9831072661425,183,131,78
357.1954726947876,-754.0108985630717,251.54536854175205,210,164,90
522.1402158564334,-801.7244988127225,421.3524593743017,203,156,86
288.6895314591638,-732.5175246127283,183.87601358481663,211,164,94
239.98381255858231,-716.8095973126822,128.0330221076169,213,169,92
297.5640929398079,-732.9710448726797,187.45878531959352,201,154,89
385.1894898576926,-759.8320377346045,273.67892630176743,208,162,94
375.79727303822926,-755.8144060538069,259.7755674790858,212,168,94
361.5422012360677,-751.4411285081123,245.6767525907822,186,133,75
162.30143356792644,-692.2135624005053,44.21884293317217,215,172,95
162.44478224958277,-692.5487937755436,43.761518674483426,217,175,97
512.1293260256989,-794.6546353696777,399.5147117899053,201,154,86
476.6807070086421,-784.953567001204,361.66440683673045,208,162,91
467.47695359265555,-780.8711419748483,355.1923922565582,194,148,85
165.70137328524578,-693.2745386701838,46.23369528078641,216,174,97
165.70137328524578,-693.2745386701838,46.23369528078641,216,174,97
386.3574095878761,-758.734622968012,266.8508101746488,183,130,76
175.69227175805537,-696.7021245517533,52.903679570737296,163,105,60
485.16254619310985,-788.0768033861872,365.3688222196687,206,161,91
173.97727510196,-696.3394800082997,49.16706960786041,190,139,80
32.96409103420672,-614.7619068812735,4.371557780234525,201,160,88
247.53923239997619,-717.3991765991798,123.34011232034914,179,122,67
-246.78301920128948,-418.48159800907325,-0.436281643836395,194,152,84
293.35999128852507,-726.924191677365,178.60971808043178,199,153,89
192.7300910951463,-699.091615541199,71.52819429469761,219,176,94
472.8115006117081,-780.7759887286088,355.1280744653436,198,149,87
519.4161316869469,-790.3049557196815,412.3953200007961,203,155,86
544.1437522008274,-804.3892231587258,420.5245098128877,199,153,88
330.0407522416226,-742.9585871204391,200.73286496751246,212,168,94
511.43018441679055,-793.8686407097048,389.36536878448544,204,159,90
403.0976410069549,-762.9783903540676,275.92227256049244,206,160,90
226.9043550426356,-708.817928733617,103.03822058915705,209,162,93
318.016109842314,-738.331738559372,187.80160072797483,203,158,90
363.7055407441378,-750.0366013165124,234.38892167519253,187,135,78
501.0947407116839,-789.8136491336918,374.3143755539606,207,162,91
362.4530172122531,-748.7726472251526,234.27088736682055,187,134,80
329.2203528296646,-738.8272079148956,198.09613467697028,190,140,82
331.3810784645672,-739.5253380169423,199.0978946039525,186,131,75
247.67830608051065,-707.6354702840404,131.49349269615536,216,170,95
541.1740555303452,-800.666954498618,410.0667834723438,203,157,88
198.50730840712384,-698.9015067489926,68.0367886315156,186,131,72
477.9961756687122,-781.9264204269138,346.46547284147096,200,150,88
165.723119545871,-690.2641781741415,31.73348258289903,215,173,96
190.31192072252134,-696.365480182539,58.31269224312234,214,170,93
189.1762843504339,-697.3190772556543,52.66902894898803,172,113,62
462.7809891450938,-773.7451123791384,336.7219829314122,188,136,80
506.1266674862808,-789.0917570051552,371.96798448231925,171,120,73
402.0750293079877,-757.7424248688997,264.1884875622294,216,173,97
443.2677236874416,-769.1194342039323,305.86665733416055,194,145,83
443.2677236874416,-769.1194342039323,305.86665733416055,194,145,83
516.7185978063167,-790.9047975985309,376.47248038425255,203,157,88
165.29499074424348,-686.3077703391475,28.676783210321247,214,171,94
-312.04327474439685,-366.0367219348682,0.02473304654509434,181,134,74
492.7287503893542,-782.9629252607558,354.79373336265655,197,151,88
177.25542794554354,-691.0275374117036,36.18383927533236,214,171,98
344.22155323038976,-740.5860792736312,201.25199519384154,216,174,97
505.57291362970375,-786.9008246254207,364.80473338478646,179,128,77
443.5188527629126,-768.0927620225275,301.8867778755746,206,158,89
261.20387931885244,-714.5301158168791,118.48517694975658,204,157,88
439.11292478138034,-766.035325610083,297.6641261675819,206,159,89
394.0266563767953,-753.7361535581551,250.11837931425814,211,165,92
400.92845521656614,-754.5799727622077,259.63133629843713,206,158,91
501.6813431699819,-785.2243518952478,354.889156815695,199,152,88
351.177111808211,-740.6742553787868,204.7324550557562,216,174,97
252.43422737732465,-712.0140523415193,103.88330890615273,207,162,90
383.383440151142,-749.0098919164043,236.3658530401397,201,153,90
286.8441765810267,-720.8141942933853,139.83097979913651,213,170,93
205.49382505856715,-695.6785529541605,61.227103162656334,214,169,93
514.4824026376598,-787.0418837094225,363.1539044115478,203,157,88
33.72127706168794,-600.1680762501644,-0.7258005137177577,194,152,86
365.97626454427456,-741.8125322632541,217.3685744212311,216,174,97
210.70945690406563,-698.2230509463018,56.62056978181917,212,171,96
571.7205737379084,-802.344640778172,418.5451231259258,206,159,90
442.2717962924203,-764.6064496327895,288.4975595346077,197,147,85
284.9962646684119,-718.150637581867,131.02937830148568,213,170,94
279.410744714819,-716.881976109756,123.95582145542835,180,125,68
279.410744714819,-716.881976109756,123.95582145542835,180,125,68
476.5673369443432,-774.2365484310949,320.66941251237404,197,147,87
420.07134693153154,-757.4794267802316,264.324309272139,216,174,96
513.5896431496279,-784.312222812975,358.221278136291,182,128,74
-279.13984910742414,-383.09602559396666,-0.4567241156454429,186,141,78
362.0070397123021,-739.6139059901241,204.6510003610237,188,136,77
177.9148424890485,-686.4316082259409,20.229005732574876,203,159,90
361.25172478959564,-739.6657046823195,198.2985193628815,188,134,78
361.25172478959564,-739.6657046823195,198.2985193628815,188,134,78
366.0850223312037,-739.2891436436673,206.39444892929288,218,177,98
64.09050379188847,-613.9375233502019,1.1363302979644914,202,163,92
188.6099428941613,-685.78574390652,34.008661314451956,211,167,93
532.6602593403013,-790.9068046586347,362.60804822282074,205,158,88
287.835515645702,-716.2921992731839,127.82909760481269,169,112,62
282.7596032277426,-714.7837047838025,119.22167125863999,211,164,90
167.0682799991494,-681.2482367476789,4.312051572242922,197,151,86
361.7429926023764,-736.6036741286684,197.13182605619014,201,154,90
367.16598969682354,-738.3506375255957,202.00639472306543,216,174,98
291.32397083472335,-716.8907639714707,124.59277619004357,190,140,77
259.11479295145944,-707.3094887707764,92.14898870642685,204,156,88
